,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,16.0,16.0,16,16.0,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
pref_city,,16.0,16.0,16,16.0,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
county_reg,,104.0,104.0,104,105.0,105,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
pref_city_distr,,45.0,45.0,45,44.0,44,44.0,44.0,44.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
county_city,,9.0,9.0,9,9.0,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
county,,50.0,50.0,50,52.0,54,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,1522.0,1512.0,1501,1498.0,1488,1486.0,1488.0,1494.0,1505.0,1508.0,1509.0,1522.0,1523.0,1520.0,1523.0,1519.0,1625.0,1696.0,1776.0
city_town,,1011.0,997.0,968,968.0,968,965.0,953.0,946.0,938.0,927.0,923.0,914.0,912.0,905.0,908.0,912.0,924.0,948.0,968.0
rural_town,,224.0,239.0,271,271.0,271,275.0,289.0,303.0,315.0,330.0,334.0,343.0,349.0,357.0,361.0,352.0,450.0,498.0,634.0
street,,287.0,276.0,262,259.0,249,246.0,246.0,245.0,252.0,251.0,252.0,265.0,262.0,258.0,254.0,246.0,242.0,241.0,234.0
