Database???Annual
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,333,333,333,333,333,334,334,334,333,333,333,332,333,333,333,333,333,333,333
Number of Cities at Prefecture Level(unit),,293,293,293,293,293,294,293,291,288,286,285,284,283,283,283,283,283,283,283
Number of Regions at County Level(unit),,2843,2843,2844,2846,2851,2851,2851,2850,2854,2853,2852,2853,2856,2858,2859,2859,2860,2862,2862
Number of Districts under the Jurisdiction of Cities(unit),,977,977,973,965,970,962,954,921,897,872,860,857,853,855,856,856,856,852,852
Number of Cities at County Level(unit),,394,394,388,387,375,363,360,361,361,368,368,369,370,367,368,368,369,374,374
Number of Counties(unit),,1301,1301,1312,1323,1335,1355,1366,1397,1425,1442,1453,1456,1461,1464,1463,1463,1463,1464,1464
Number of Autonomous Counties(unit),,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
Number of Regions at Townships Level(unit),,38602,38558,38741,38755,39945,39888,39862,39789,40381,40497,40446,40466,40906,40858,40828,40813,41040,41636,43258
Number of Towns(unit),,21389,21322,21157,21013,21297,21116,20883,20515,20401,20117,19881,19683,19410,19322,19234,19249,19369,19522,19883
Number of Towns(unit),,8227,8309,8809,9221,10253,10529,10872,11315,12282,12812,13281,13587,14571,14848,15067,15120,15306,15951,17451
Number of Street Communities(unit),,8984,8925,8773,8519,8393,8241,8105,7957,7696,7566,7282,7194,6923,6686,6524,6434,6355,6152,5904
Data Sources£ºNational Bureau of Statistics
