Database???Annual by Province
Region£ºJiangsu
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Number of Cities at Prefecture Level(unit),,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Number of Regions at County Level(unit),,95,95,95,96,96,96,96,97,99,100,102,104,105,106,106,106,106,106,106
Number of Districts under the Jurisdiction of Cities(unit),,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54
Number of Cities at County Level(unit),,21,21,21,22,22,21,21,21,23,23,23,25,26,26,27,27,27,27,27
Number of Counties(unit),,19,19,19,19,19,20,20,21,21,22,24,24,24,25,25,25,25,25,25
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,1237,1237,1258,1261,1258,1284,1287,1281,1274,1265,1281,1300,1307,1334,1342,1355,1388,1410,1488
Number of Towns(unit),,701,699,712,718,723,758,763,767,780,797,836,860,877,911,930,946,994,1019,1078
Number of Towns(unit),,17,19,31,40,44,68,69,72,79,79,96,96,98,107,109,108,108,109,122
Number of Street Communities(unit),,519,519,515,503,491,458,455,442,415,389,349,344,332,316,303,300,285,281,287
Data Sources£ºNational Bureau of Statistics
