Database???Annual by Province
Region£ºZhejiang
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Cities at Prefecture Level(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Regions at County Level(unit),,90,90,90,90,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90
Number of Districts under the Jurisdiction of Cities(unit),,37,37,37,37,37,37,36,36,35,34,32,32,32,32,32,32,32,32,32
Number of Cities at County Level(unit),,20,20,20,20,19,19,19,20,20,21,22,22,22,22,22,22,22,22,22
Number of Counties(unit),,32,32,32,32,32,32,33,33,34,34,35,35,35,35,35,35,35,35,35
Number of Autonomous Counties(unit),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Number of Regions at Townships Level(unit),,1364,1364,1365,1360,1375,1378,1378,1350,1321,1324,1341,1346,1512,1513,1511,1516,1519,1525,1569
Number of Towns(unit),,618,618,618,619,639,641,655,641,629,639,650,654,728,735,747,750,754,752,760
Number of Towns(unit),,258,258,259,259,269,274,274,265,258,264,279,290,443,445,446,439,447,461,505
Number of Street Communities(unit),,488,488,488,482,467,463,449,444,434,421,412,402,341,333,318,313,304,298,290
Data Sources£ºNational Bureau of Statistics
