Database???Annual by Province
Region£ºAnhui
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17
Number of Cities at Prefecture Level(unit),,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17
Number of Regions at County Level(unit),,104,104,104,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Number of Districts under the Jurisdiction of Cities(unit),,45,45,45,44,44,44,44,44,43,43,43,43,44,44,44,44,44,44,44
Number of Cities at County Level(unit),,9,9,9,9,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5
Number of Counties(unit),,50,50,50,52,54,55,55,55,56,56,56,56,56,56,56,56,56,56,56
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,1522,1512,1501,1498,1488,1486,1488,1494,1505,1508,1509,1522,1523,1520,1523,1519,1625,1696,1776
Number of Towns(unit),,1011,997,968,968,968,965,953,946,938,927,923,914,912,905,908,912,924,948,968
Number of Towns(unit),,224,239,271,271,271,275,289,303,315,330,334,343,349,357,361,352,450,498,634
Number of Street Communities(unit),,287,276,262,259,249,246,246,245,252,251,252,265,262,258,254,246,242,241,234
Data Sources£ºNational Bureau of Statistics
