Database???Annual by Province
Region£ºFujian
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Number of Cities at Prefecture Level(unit),,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Number of Regions at County Level(unit),,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Number of Districts under the Jurisdiction of Cities(unit),,31,31,29,29,29,29,28,28,28,26,26,26,26,26,26,26,26,26,26
Number of Cities at County Level(unit),,11,11,12,12,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14
Number of Counties(unit),,42,42,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,1108,1102,1107,1107,1106,1105,1105,1105,1104,1104,1104,1102,1102,1102,1101,1101,1104,1101,1104
Number of Towns(unit),,653,655,658,653,651,642,638,633,628,616,609,600,595,591,590,591,591,593,605
Number of Towns(unit),,252,252,264,270,272,284,288,294,301,313,320,329,334,338,338,320,322,323,328
Number of Street Communities(unit),,203,195,185,184,183,179,179,178,175,175,175,173,173,173,173,172,173,167,153
Data Sources£ºNational Bureau of Statistics
