Database???Annual by Province
Region£ºJiangxi
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Cities at Prefecture Level(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Regions at County Level(unit),,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99
Number of Districts under the Jurisdiction of Cities(unit),,27,27,27,27,26,25,24,22,20,20,19,19,19,19,19,19,19,19,19
Number of Cities at County Level(unit),,12,12,12,11,11,11,11,10,10,10,11,11,11,10,10,10,10,10,10
Number of Counties(unit),,61,61,61,62,63,64,65,68,70,70,70,70,70,70,70,70,70,70,70
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,1578,1570,1566,1563,1567,1561,1555,1552,1548,1546,1540,1539,1539,1535,1530,1528,1526,1550,1549
Number of Towns(unit),,832,834,830,828,827,825,824,820,816,807,802,794,788,778,770,768,767,773,771
Number of Towns(unit),,560,562,568,570,578,579,579,582,587,594,596,602,610,620,627,620,621,647,651
Number of Street Communities(unit),,186,174,168,165,162,157,152,150,145,145,142,143,141,137,133,132,131,123,120
Data Sources£ºNational Bureau of Statistics
