Database???Annual by Province
Region£ºShandong
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Number of Cities at Prefecture Level(unit),,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Number of Regions at County Level(unit),,136,136,136,137,137,137,137,137,137,137,138,140,140,140,140,140,140,140,140
Number of Districts under the Jurisdiction of Cities(unit),,58,58,58,57,56,55,54,51,51,48,48,49,49,49,49,49,49,49,49
Number of Cities at County Level(unit),,26,26,26,27,27,26,27,28,28,29,30,31,31,31,31,31,31,31,31
Number of Counties(unit),,52,52,52,53,54,56,56,58,58,60,60,60,60,60,60,60,60,60,60
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,1825,1825,1822,1824,1824,1824,1826,1826,1826,1826,1824,1857,1874,1872,1868,1869,1932,1931,1941
Number of Towns(unit),,1072,1072,1072,1087,1092,1094,1106,1115,1114,1107,1094,1118,1118,1096,1111,1118,1190,1194,1223
Number of Towns(unit),,57,57,57,68,68,70,73,75,81,91,113,128,156,269,270,269,275,276,293
Number of Street Communities(unit),,696,696,693,669,664,660,647,636,631,628,617,611,600,507,487,481,466,460,423
Data Sources£ºNational Bureau of Statistics
