Database???Annual by Province
Region£ºHenan
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Number of Cities at Prefecture Level(unit),,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Number of Regions at County Level(unit),,157,157,158,158,158,158,158,158,158,159,159,159,159,159,159,159,159,159,159
Number of Districts under the Jurisdiction of Cities(unit),,54,54,53,53,52,52,52,51,50,50,50,50,50,50,50,50,50,50,50
Number of Cities at County Level(unit),,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Number of Counties(unit),,82,82,83,83,85,85,85,86,87,88,88,88,88,88,88,88,88,88,88
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,2458,2457,2453,2451,2451,2441,2435,2433,2420,2406,2399,2381,2371,2361,2358,2356,2355,2299,2451
Number of Towns(unit),,1180,1178,1181,1173,1173,1151,1120,1105,1103,1085,1014,1011,949,904,856,848,832,841,865
Number of Towns(unit),,586,606,610,618,618,640,682,703,718,755,827,852,929,978,1033,1032,1051,1054,1244
Number of Street Communities(unit),,692,673,662,660,660,650,633,625,599,566,558,518,493,479,469,464,460,392,342
Data Sources£ºNational Bureau of Statistics
