Database???Annual by Province
Region£ºHubei
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Number of Cities at Prefecture Level(unit),,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Number of Regions at County Level(unit),,103,103,103,103,103,103,103,103,103,103,103,103,103,103,102,102,102,102,102
Number of Districts under the Jurisdiction of Cities(unit),,39,39,39,39,39,39,39,39,39,38,38,38,38,38,38,38,38,38,38
Number of Cities at County Level(unit),,26,26,26,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Number of Counties(unit),,35,35,35,36,36,37,37,37,37,38,38,38,38,38,37,37,37,37,37
Number of Autonomous Counties(unit),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Number of Regions at Townships Level(unit),,1257,1255,1251,1249,1235,1234,1234,1233,1233,1232,1232,1233,1230,1227,1228,1223,1219,1220,1236
Number of Towns(unit),,761,761,761,760,762,761,759,761,761,757,746,742,741,740,733,734,732,733,738
Number of Towns(unit),,161,161,161,162,163,165,168,168,170,175,188,194,199,204,210,200,200,201,214
Number of Street Communities(unit),,335,333,329,327,310,308,307,304,302,300,298,297,290,283,285,279,277,277,274
Data Sources£ºNational Bureau of Statistics
