Database???Annual by Province
Region£ºHunan
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Number of Cities at Prefecture Level(unit),,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Number of Regions at County Level(unit),,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
Number of Districts under the Jurisdiction of Cities(unit),,36,36,36,36,36,35,35,35,35,35,35,35,34,34,34,34,34,34,34
Number of Cities at County Level(unit),,19,19,18,18,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16
Number of Counties(unit),,60,60,61,61,62,63,64,64,64,64,64,64,65,65,65,65,65,65,65
Number of Autonomous Counties(unit),,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Number of Regions at Townships Level(unit),,1944,1943,1940,1937,1933,1927,1929,1911,2414,2407,2388,2426,2419,2409,2404,2403,2407,2409,2576
Number of Towns(unit),,1134,1133,1133,1134,1138,1134,1135,1119,1153,1138,1131,1121,1109,1106,1101,1095,1091,1089,1098
Number of Towns(unit),,388,389,392,392,392,398,401,417,902,925,952,1038,1052,1056,1063,974,988,990,1146
Number of Street Communities(unit),,422,421,415,411,403,395,393,375,359,344,305,267,258,247,240,237,231,233,226
Data Sources£ºNational Bureau of Statistics
