Database???Annual by Province
Region£ºTianjin
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Cities at Prefecture Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at County Level(unit),,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18
Number of Districts under the Jurisdiction of Cities(unit),,16,16,16,16,16,16,16,15,13,13,13,13,13,13,15,15,15,15,15
Number of Cities at County Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Counties(unit),,,,0,,0,,,1,3,3,3,3,3,3,3,3,3,3,3
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,252,252,250,248,249,248,245,244,240,240,245,244,243,243,243,244,242,241,240
Number of Towns(unit),,125,125,125,126,126,124,124,121,121,121,123,123,115,116,116,117,118,120,120
Number of Towns(unit),,3,3,3,3,3,3,3,6,6,6,11,11,20,20,20,18,18,18,18
Number of Street Communities(unit),,124,124,122,119,120,121,118,117,113,113,111,110,108,107,107,107,104,101,100
Data Sources£ºNational Bureau of Statistics
