Database???Annual by Province
Region£ºHainan
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2
Number of Cities at Prefecture Level(unit),,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2
Number of Regions at County Level(unit),,25,25,25,23,23,23,23,23,24,20,20,20,20,20,20,20,20,20,20
Number of Districts under the Jurisdiction of Cities(unit),,10,10,10,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4
Number of Cities at County Level(unit),,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
Number of Counties(unit),,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Number of Autonomous Counties(unit),,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Number of Regions at Townships Level(unit),,218,218,218,218,218,218,218,218,218,224,222,222,222,222,222,222,220,218,218
Number of Towns(unit),,175,175,175,175,175,175,175,175,176,182,183,183,183,183,183,183,181,180,181
Number of Towns(unit),,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20
Number of Street Communities(unit),,22,22,22,22,22,22,22,22,21,21,18,18,18,18,18,18,18,18,17
Data Sources£ºNational Bureau of Statistics
