Database???Annual by Province
Region£ºChongqing
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Cities at Prefecture Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at County Level(unit),,38,38,38,38,38,38,38,38,38,38,38,38,40,40,40,40,40,40,40
Number of Districts under the Jurisdiction of Cities(unit),,26,26,26,26,26,26,26,23,21,19,19,19,19,19,19,19,19,15,15
Number of Cities at County Level(unit),,,,0,,0,,,,,,,,,,,,,4,4
Number of Counties(unit),,8,8,8,8,8,8,8,11,13,15,15,15,17,17,17,17,17,17,17
Number of Autonomous Counties(unit),,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Number of Regions at Townships Level(unit),,1031,1031,1031,1029,1030,1030,1028,1025,1023,1016,1012,1012,1014,1009,1007,1026,1022,1081,1150
Number of Towns(unit),,625,625,621,629,627,626,622,617,610,611,604,598,587,578,580,589,595,608,626
Number of Towns(unit),,161,161,171,172,177,182,190,195,207,213,220,225,252,267,291,300,298,353,410
Number of Street Communities(unit),,245,245,239,228,226,222,216,213,206,192,188,189,175,164,136,129,121,112,106
Data Sources£ºNational Bureau of Statistics
