Database???Annual by Province
Region£ºSichuan
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Number of Cities at Prefecture Level(unit),,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Number of Regions at County Level(unit),,183,183,183,183,183,183,183,183,183,183,181,181,181,181,181,181,181,181,181
Number of Districts under the Jurisdiction of Cities(unit),,55,55,55,54,54,53,52,50,49,48,45,44,43,43,43,43,43,43,43
Number of Cities at County Level(unit),,19,19,18,18,17,17,16,16,14,14,14,14,14,14,14,14,14,14,14
Number of Counties(unit),,105,105,106,107,108,109,111,113,116,117,118,119,120,120,120,120,120,120,120
Number of Autonomous Counties(unit),,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Number of Regions at Townships Level(unit),,3101,3101,3230,3440,4612,4610,4633,4635,4648,4657,4660,4672,4668,4660,4657,4657,4660,4782,5018
Number of Towns(unit),,2016,2016,1978,1926,2232,2196,2105,2032,1937,1853,1831,1816,1821,1821,1821,1821,1821,1865,1882
Number of Towns(unit),,626,626,793,1065,2027,2064,2182,2271,2382,2502,2549,2579,2585,2586,2588,2490,2496,2586,2816
Number of Street Communities(unit),,459,459,459,449,353,350,346,332,329,302,280,277,262,253,248,248,249,238,218
Data Sources£ºNational Bureau of Statistics
