Database???Annual by Province
Region£ºYunnan
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Number of Cities at Prefecture Level(unit),,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Number of Regions at County Level(unit),,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
Number of Districts under the Jurisdiction of Cities(unit),,17,17,17,17,17,16,16,14,13,13,13,13,12,12,12,12,12,12,12
Number of Cities at County Level(unit),,18,18,17,17,16,15,15,14,13,12,11,11,11,9,9,9,9,9,9
Number of Counties(unit),,65,65,66,66,67,69,69,72,74,75,76,76,77,79,79,79,79,79,79
Number of Autonomous Counties(unit),,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Number of Regions at Townships Level(unit),,1424,1418,1410,1407,1400,1398,1389,1389,1389,1388,1365,1362,1366,1366,1373,1370,1368,1455,1559
Number of Towns(unit),,666,665,678,679,682,682,681,681,665,652,659,577,597,597,580,580,583,567,577
Number of Towns(unit),,537,539,540,540,543,543,545,545,561,574,584,667,689,689,725,575,579,677,758
Number of Street Communities(unit),,221,214,192,188,175,173,163,163,163,162,122,118,80,80,68,65,56,56,52
Data Sources£ºNational Bureau of Statistics
