Database???Annual by Province
Region£ºTibet
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Number of Cities at Prefecture Level(unit),,6,6,6,6,6,6,5,4,3,1,1,1,1,1,1,1,1,1,1
Number of Regions at County Level(unit),,74,74,74,74,74,74,74,74,74,74,74,73,73,73,73,73,73,73,73
Number of Districts under the Jurisdiction of Cities(unit),,8,8,8,8,8,8,6,5,3,1,1,1,1,1,1,1,1,1,1
Number of Cities at County Level(unit),,,,0,,0,,,,,1,1,1,1,1,1,1,1,1,1
Number of Counties(unit),,66,66,66,66,66,66,68,69,71,72,72,71,71,71,71,71,71,71,71
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,699,699,697,697,697,697,697,694,694,694,693,692,692,692,692,691,691,692,692
Number of Towns(unit),,142,142,142,142,138,140,140,140,140,140,140,140,140,140,140,140,140,140,140
Number of Towns(unit),,534,534,534,534,539,545,545,544,544,544,543,542,542,542,542,534,534,535,535
Number of Street Communities(unit),,23,23,21,21,20,12,12,10,10,10,10,10,10,10,10,9,9,9,9
Data Sources£ºNational Bureau of Statistics
