Database???Annual by Province
Region£ºShaanxi
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Cities at Prefecture Level(unit),,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Regions at County Level(unit),,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
Number of Districts under the Jurisdiction of Cities(unit),,31,31,30,30,30,30,29,27,25,24,24,24,24,24,24,24,24,24,24
Number of Cities at County Level(unit),,7,7,6,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Number of Counties(unit),,69,69,71,71,72,73,75,77,79,80,80,80,80,80,80,80,80,80,80
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,1316,1316,1313,1312,1311,1295,1295,1291,1420,1420,1418,1418,1745,1745,1745,1745,1745,1745,1747
Number of Towns(unit),,973,973,973,975,975,983,988,989,1142,1142,1136,1137,922,921,907,907,908,917,903
Number of Towns(unit),,17,17,17,21,21,23,23,23,74,74,80,82,648,649,672,674,678,680,682
Number of Street Communities(unit),,326,326,323,316,315,289,284,279,204,204,202,199,175,175,166,164,159,148,167
Data Sources£ºNational Bureau of Statistics
