Database???Annual by Province
Region£ºGansu
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Number of Cities at Prefecture Level(unit),,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Number of Regions at County Level(unit),,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
Number of Districts under the Jurisdiction of Cities(unit),,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Number of Cities at County Level(unit),,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Number of Counties(unit),,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Number of Autonomous Counties(unit),,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Number of Regions at Townships Level(unit),,1356,1356,1356,1357,1355,1355,1352,1351,1351,1347,1345,1353,1351,1350,1347,1343,1342,1348,1350
Number of Towns(unit),,892,892,892,892,886,816,741,628,526,478,470,468,466,464,462,462,460,457,456
Number of Towns(unit),,337,337,337,337,343,413,487,600,702,750,758,759,761,762,763,728,730,740,769
Number of Street Communities(unit),,127,127,127,128,126,126,124,123,123,119,117,126,124,124,122,121,122,121,109
Data Sources£ºNational Bureau of Statistics
