Database???Annual by Province
Region£ºQinghai
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Number of Cities at Prefecture Level(unit),,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Number of Regions at County Level(unit),,44,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43
Number of Districts under the Jurisdiction of Cities(unit),,7,7,7,7,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4
Number of Cities at County Level(unit),,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
Number of Counties(unit),,25,25,25,26,27,27,27,27,28,28,30,30,30,30,30,30,30,30,30
Number of Autonomous Counties(unit),,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Number of Regions at Townships Level(unit),,404,404,403,403,403,400,399,399,399,395,396,396,396,396,398,396,396,422,429
Number of Towns(unit),,140,140,144,144,143,143,140,140,140,137,138,137,137,137,137,137,135,123,116
Number of Towns(unit),,222,222,222,222,223,223,225,225,225,228,228,229,229,229,229,201,202,239,253
Number of Street Communities(unit),,42,42,37,37,37,34,34,34,34,30,30,30,30,30,32,30,30,30,31
Data Sources£ºNational Bureau of Statistics
