Database???Annual by Province
Region£ºNingxia
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Number of Cities at Prefecture Level(unit),,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Number of Regions at County Level(unit),,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21
Number of Districts under the Jurisdiction of Cities(unit),,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8
Number of Cities at County Level(unit),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Number of Counties(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,243,242,241,240,240,240,237,236,237,237,237,237,235,233,232,231,229,229,226
Number of Towns(unit),,103,103,103,103,103,103,102,102,102,101,101,101,99,99,98,98,94,94,93
Number of Towns(unit),,90,90,90,90,90,90,90,90,91,92,92,92,93,93,93,93,93,93,90
Number of Street Communities(unit),,50,49,48,47,47,47,45,44,44,44,44,44,43,41,41,40,42,42,39
Data Sources£ºNational Bureau of Statistics
