Database???Annual by Province
Region£ºXinjiang
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Number of Cities at Prefecture Level(unit),,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2
Number of Regions at County Level(unit),,107,107,106,106,105,105,105,104,103,101,101,99,98,98,98,98,99,99,99
Number of Districts under the Jurisdiction of Cities(unit),,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,11
Number of Cities at County Level(unit),,28,28,26,26,24,24,24,24,24,22,22,20,19,19,19,19,20,20,20
Number of Counties(unit),,60,60,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
Number of Autonomous Counties(unit),,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Number of Regions at Townships Level(unit),,1146,1142,1128,1103,1076,1066,1057,1047,1038,1035,1026,1020,1021,1005,1002,1009,1009,1009,1004
Number of Towns(unit),,467,463,444,413,386,349,349,320,305,276,262,242,237,234,229,229,229,229,229
Number of Towns(unit),,468,468,478,489,489,523,523,548,562,589,601,615,621,620,625,581,581,582,585
Number of Street Communities(unit),,210,210,205,200,200,193,184,178,170,169,162,162,162,150,146,147,147,145,136
Data Sources£ºNational Bureau of Statistics
