Database???Annual by Province
Region£ºShanxi
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Cities at Prefecture Level(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Regions at County Level(unit),,117,117,117,117,117,119,119,119,119,119,119,119,119,119,119,119,119,119,119
Number of Districts under the Jurisdiction of Cities(unit),,26,26,26,26,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Number of Cities at County Level(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Counties(unit),,80,80,80,80,81,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,1278,1278,1396,1396,1398,1398,1398,1398,1398,1398,1397,1397,1397,1397,1397,1396,1389,1389,1388
Number of Towns(unit),,631,631,579,577,564,564,564,564,564,564,564,564,563,563,563,563,561,561,561
Number of Towns(unit),,430,430,610,612,632,632,632,632,632,632,632,632,633,633,633,633,635,635,634
Number of Street Communities(unit),,217,217,207,207,202,202,202,202,202,202,201,201,201,201,201,200,193,193,193
Data Sources£ºNational Bureau of Statistics
