Database???Annual by Province
Region£ºInner Mongolia
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Number of Cities at Prefecture Level(unit),,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Number of Regions at County Level(unit),,103,103,103,103,103,103,103,102,102,102,101,101,101,101,101,101,101,101,101
Number of Districts under the Jurisdiction of Cities(unit),,23,23,23,23,23,23,23,22,22,22,21,21,21,21,21,21,21,21,21
Number of Cities at County Level(unit),,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Number of Counties(unit),,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,1025,1025,1024,1024,1024,1020,1014,1010,1010,1010,1010,909,863,863,858,854,861,1112,1427
Number of Towns(unit),,509,509,508,508,508,505,503,496,495,493,490,477,463,463,458,458,457,493,532
Number of Towns(unit),,270,270,270,270,270,272,272,275,275,275,277,192,179,179,182,67,68,226,407
Number of Street Communities(unit),,246,246,246,246,246,243,239,239,240,242,243,240,221,221,218,213,220,195,191
Data Sources£ºNational Bureau of Statistics
