Database???Annual by Province
Region£ºLiaoning
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Number of Cities at Prefecture Level(unit),,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Number of Regions at County Level(unit),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Number of Districts under the Jurisdiction of Cities(unit),,59,59,59,59,59,59,59,57,56,56,56,56,56,56,56,56,56,56,56
Number of Cities at County Level(unit),,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17
Number of Counties(unit),,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19
Number of Autonomous Counties(unit),,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Number of Regions at Townships Level(unit),,1354,1354,1355,1355,1531,1531,1531,1532,1530,1521,1515,1508,1507,1504,1498,1498,1522,1528,1530
Number of Towns(unit),,640,640,640,640,640,641,642,648,645,636,615,607,581,577,572,573,595,602,613
Number of Towns(unit),,201,201,201,201,201,202,212,213,217,228,270,290,324,357,369,293,295,299,301
Number of Street Communities(unit),,513,513,514,514,690,688,677,671,668,657,630,611,602,570,557,556,555,550,539
Data Sources£ºNational Bureau of Statistics
