Database???Annual by Province
Region£ºJilin
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Number of Cities at Prefecture Level(unit),,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Number of Regions at County Level(unit),,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Number of Districts under the Jurisdiction of Cities(unit),,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19
Number of Cities at County Level(unit),,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,20,20,20
Number of Counties(unit),,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18
Number of Autonomous Counties(unit),,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Number of Regions at Townships Level(unit),,961,958,951,937,933,919,910,901,900,900,895,898,897,897,894,890,887,878,1005
Number of Towns(unit),,426,426,426,426,426,426,428,429,434,434,429,428,426,425,423,423,425,426,454
Number of Towns(unit),,181,181,181,182,182,182,182,182,184,184,189,190,194,196,198,170,170,169,283
Number of Street Communities(unit),,354,351,344,329,325,311,300,290,282,282,277,280,277,276,273,269,264,254,239
Data Sources£ºNational Bureau of Statistics
