Database???Annual by Province
Region£ºShanghai
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Cities at Prefecture Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at County Level(unit),,16,16,16,16,16,16,16,16,17,17,17,17,18,18,19,19,19,19,19
Number of Districts under the Jurisdiction of Cities(unit),,16,16,16,16,16,16,16,15,16,16,16,16,17,17,18,18,18,18,18
Number of Cities at County Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Counties(unit),,,,0,,0,,,1,1,1,1,1,1,1,1,1,1,1,1
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,215,215,215,215,214,214,214,213,209,208,208,209,210,210,213,211,213,214,220
Number of Towns(unit),,106,106,106,106,107,107,107,107,107,108,108,108,109,109,109,107,106,108,114
Number of Towns(unit),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Number of Street Communities(unit),,107,107,107,107,105,105,105,104,100,98,98,99,99,99,101,101,104,103,103
Data Sources£ºNational Bureau of Statistics
