Database???Annual by Province
Region£ºBeijing
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Number of Regions at Prefecture Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Cities at Prefecture Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at County Level(unit),,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18
Number of Districts under the Jurisdiction of Cities(unit),,16,16,16,16,16,16,16,16,14,14,14,14,14,16,16,16,16,16,16
Number of Cities at County Level(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Counties(unit),,,,0,,0,,,,2,2,2,2,2,2,2,2,2,2,2
Number of Autonomous Counties(unit),,,,0,,0,,,,,,,,,,,,,,
Number of Regions at Townships Level(unit),,343,343,343,333,333,331,331,331,329,325,325,322,322,322,317,317,314,314,311
Number of Towns(unit),,143,143,143,143,143,143,143,143,144,144,144,144,142,142,142,142,142,142,142
Number of Towns(unit),,35,35,35,38,38,38,38,38,38,38,38,38,40,40,40,36,36,36,24
Number of Street Communities(unit),,165,165,165,152,152,150,150,150,147,143,143,140,140,140,135,134,131,131,127
Data Sources£ºNational Bureau of Statistics
