,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,,,0,,0,,,,,,,,,,,,,,
pref_city,,,,0,,0,,,,,,,,,,,,,,
county_reg,,16.0,16.0,16,16.0,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0
pref_city_distr,,16.0,16.0,16,16.0,16,16.0,16.0,16.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0
county_city,,,,0,,0,,,,,,,,,,,,,,
county,,,,0,,0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,343.0,343.0,343,333.0,333,331.0,331.0,331.0,329.0,325.0,325.0,322.0,322.0,322.0,317.0,317.0,314.0,314.0,311.0
city_town,,143.0,143.0,143,143.0,143,143.0,143.0,143.0,144.0,144.0,144.0,144.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0
rural_town,,35.0,35.0,35,38.0,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0,36.0,36.0,36.0,24.0
street,,165.0,165.0,165,152.0,152,150.0,150.0,150.0,147.0,143.0,143.0,140.0,140.0,140.0,135.0,134.0,131.0,131.0,127.0
