,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,,0,,0,,,,,,,,,,,,,,
pref_city,,,0,,0,,,,,,,,,,,,,,
county_reg,38.0,38.0,38,38.0,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
pref_city_distr,26.0,26.0,26,26.0,26,26.0,26.0,23.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,15.0,15.0
county_city,,,0,,0,,,,,,,,,,,,,4.0,4.0
county,8.0,8.0,8,8.0,8,8.0,8.0,11.0,13.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
auto_county,4.0,4.0,4,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
town_reg,1031.0,1031.0,1031,1029.0,1030,1030.0,1028.0,1025.0,1023.0,1016.0,1012.0,1012.0,1014.0,1009.0,1007.0,1026.0,1022.0,1081.0,1150.0
city_town,625.0,625.0,621,629.0,627,626.0,622.0,617.0,610.0,611.0,604.0,598.0,587.0,578.0,580.0,589.0,595.0,608.0,626.0
rural_town,161.0,161.0,171,172.0,177,182.0,190.0,195.0,207.0,213.0,220.0,225.0,252.0,267.0,291.0,300.0,298.0,353.0,410.0
street,245.0,245.0,239,228.0,226,222.0,216.0,213.0,206.0,192.0,188.0,189.0,175.0,164.0,136.0,129.0,121.0,112.0,106.0
