,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,9.0,9.0,9,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
pref_city,,9.0,9.0,9,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
county_reg,,84.0,84.0,85,85.0,85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
pref_city_distr,,31.0,31.0,29,29.0,29,29.0,28.0,28.0,28.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
county_city,,11.0,11.0,12,12.0,12,12.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
county,,42.0,42.0,44,44.0,44,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,1108.0,1102.0,1107,1107.0,1106,1105.0,1105.0,1105.0,1104.0,1104.0,1104.0,1102.0,1102.0,1102.0,1101.0,1101.0,1104.0,1101.0,1104.0
city_town,,653.0,655.0,658,653.0,651,642.0,638.0,633.0,628.0,616.0,609.0,600.0,595.0,591.0,590.0,591.0,591.0,593.0,605.0
rural_town,,252.0,252.0,264,270.0,272,284.0,288.0,294.0,301.0,313.0,320.0,329.0,334.0,338.0,338.0,320.0,322.0,323.0,328.0
street,,203.0,195.0,185,184.0,183,179.0,179.0,178.0,175.0,175.0,175.0,173.0,173.0,173.0,173.0,172.0,173.0,167.0,153.0
