,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
pref_city,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
county_reg,,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
pref_city_distr,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
county_city,,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
county,,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58
auto_county,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
town_reg,,1356,1356,1356,1357,1355,1355,1352,1351,1351,1347,1345,1353,1351,1350,1347,1343,1342,1348,1350
city_town,,892,892,892,892,886,816,741,628,526,478,470,468,466,464,462,462,460,457,456
rural_town,,337,337,337,337,343,413,487,600,702,750,758,759,761,762,763,728,730,740,769
street,,127,127,127,128,126,126,124,123,123,119,117,126,124,124,122,121,122,121,109
