,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2
pref_city,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2
county_reg,25,25,25,23,23,23,23,23,24,20,20,20,20,20,20,20,20,20,20
pref_city_distr,10,10,10,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4
county_city,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
county,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
auto_county,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
town_reg,218,218,218,218,218,218,218,218,218,224,222,222,222,222,222,222,220,218,218
city_town,175,175,175,175,175,175,175,175,176,182,183,183,183,183,183,183,181,180,181
rural_town,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20
street,22,22,22,22,22,22,22,22,21,21,18,18,18,18,18,18,18,18,17
