,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
pref_city,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
county_reg,167,167,167,168,168,168,168,170,171,172,172,172,172,172,172,172,172,172,172
pref_city_distr,49,49,49,47,47,47,47,42,39,37,37,36,36,36,36,36,36,36,36
county_city,21,21,21,21,21,20,19,20,20,22,22,22,22,22,22,22,22,22,22
county,91,91,91,94,94,95,96,102,106,107,107,108,108,108,108,108,108,108,108
auto_county,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
town_reg,2254,2254,2254,2255,2255,2255,2255,2251,2246,2246,2234,2233,2227,2228,2228,2220,2233,2205,2209
city_town,1325,1287,1230,1155,1156,1128,1107,1067,1050,1045,1019,1013,1007,992,969,962,946,943,937
rural_town,618,656,713,789,790,818,845,890,907,914,940,946,953,968,992,946,963,966,978
street,310,310,310,310,308,308,302,293,288,286,274,273,266,267,266,258,270,242,241
