,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,17.0,17.0,17,17.0,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
pref_city,,17.0,17.0,17,17.0,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
county_reg,,157.0,157.0,158,158.0,158,158.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
pref_city_distr,,54.0,54.0,53,53.0,52,52.0,52.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
county_city,,21.0,21.0,22,22.0,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
county,,82.0,82.0,83,83.0,85,85.0,85.0,86.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,2458.0,2457.0,2453,2451.0,2451,2441.0,2435.0,2433.0,2420.0,2406.0,2399.0,2381.0,2371.0,2361.0,2358.0,2356.0,2355.0,2299.0,2451.0
city_town,,1180.0,1178.0,1181,1173.0,1173,1151.0,1120.0,1105.0,1103.0,1085.0,1014.0,1011.0,949.0,904.0,856.0,848.0,832.0,841.0,865.0
rural_town,,586.0,606.0,610,618.0,618,640.0,682.0,703.0,718.0,755.0,827.0,852.0,929.0,978.0,1033.0,1032.0,1051.0,1054.0,1244.0
street,,692.0,673.0,662,660.0,660,650.0,633.0,625.0,599.0,566.0,558.0,518.0,493.0,479.0,469.0,464.0,460.0,392.0,342.0
