,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
pref_city,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
county_reg,103,103,103,103,103,103,103,103,103,103,103,103,103,103,102,102,102,102,102
pref_city_distr,39,39,39,39,39,39,39,39,39,38,38,38,38,38,38,38,38,38,38
county_city,26,26,26,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24
county,35,35,35,36,36,37,37,37,37,38,38,38,38,38,37,37,37,37,37
auto_county,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
town_reg,1257,1255,1251,1249,1235,1234,1234,1233,1233,1232,1232,1233,1230,1227,1228,1223,1219,1220,1236
city_town,761,761,761,760,762,761,759,761,761,757,746,742,741,740,733,734,732,733,738
rural_town,161,161,161,162,163,165,168,168,170,175,188,194,199,204,210,200,200,201,214
street,335,333,329,327,310,308,307,304,302,300,298,297,290,283,285,279,277,277,274
