,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,11.0,11.0,11,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
pref_city,,11.0,11.0,11,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
county_reg,,100.0,100.0,100,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0
pref_city_distr,,27.0,27.0,27,27.0,26,25.0,24.0,22.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
county_city,,12.0,12.0,12,11.0,11,11.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0
county,,61.0,61.0,61,62.0,63,64.0,65.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,1578.0,1570.0,1566,1563.0,1567,1561.0,1555.0,1552.0,1548.0,1546.0,1540.0,1539.0,1539.0,1535.0,1530.0,1528.0,1526.0,1550.0,1549.0
city_town,,832.0,834.0,830,828.0,827,825.0,824.0,820.0,816.0,807.0,802.0,794.0,788.0,778.0,770.0,768.0,767.0,773.0,771.0
rural_town,,560.0,562.0,568,570.0,578,579.0,579.0,582.0,587.0,594.0,596.0,602.0,610.0,620.0,627.0,620.0,621.0,647.0,651.0
street,,186.0,174.0,168,165.0,162,157.0,152.0,150.0,145.0,145.0,142.0,143.0,141.0,137.0,133.0,132.0,131.0,123.0,120.0
