,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
pref_city,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
county_reg,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
pref_city_distr,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19
county_city,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,20,20,20
county,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18
auto_county,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
town_reg,961,958,951,937,933,919,910,901,900,900,895,898,897,897,894,890,887,878,1005
city_town,426,426,426,426,426,426,428,429,434,434,429,428,426,425,423,423,425,426,454
rural_town,181,181,181,182,182,182,182,182,184,184,189,190,194,196,198,170,170,169,283
street,354,351,344,329,325,311,300,290,282,282,277,280,277,276,273,269,264,254,239
