,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
pref_city,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
county_reg,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
pref_city_distr,,59,59,59,59,59,59,59,57,56,56,56,56,56,56,56,56,56,56,56
county_city,,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17
county,,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19
auto_county,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
town_reg,,1354,1354,1355,1355,1531,1531,1531,1532,1530,1521,1515,1508,1507,1504,1498,1498,1522,1528,1530
city_town,,640,640,640,640,640,641,642,648,645,636,615,607,581,577,572,573,595,602,613
rural_town,,201,201,201,201,201,202,212,213,217,228,270,290,324,357,369,293,295,299,301
street,,513,513,514,514,690,688,677,671,668,657,630,611,602,570,557,556,555,550,539
