,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,5.0,5.0,5,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
pref_city,5.0,5.0,5,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
county_reg,22.0,22.0,22,22.0,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,21.0
pref_city_distr,9.0,9.0,9,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0
county_city,2.0,2.0,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
county,11.0,11.0,11,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
auto_county,,,0,,0,,,,,,,,,,,,,,
town_reg,243.0,242.0,241,240.0,240,240.0,237.0,236.0,237.0,237.0,237.0,237.0,235.0,233.0,232.0,231.0,229.0,229.0,226.0
city_town,103.0,103.0,103,103.0,103,103.0,102.0,102.0,102.0,101.0,101.0,101.0,99.0,99.0,98.0,98.0,94.0,94.0,93.0
rural_town,90.0,90.0,90,90.0,90,90.0,90.0,90.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,90.0
street,50.0,49.0,48,47.0,47,47.0,45.0,44.0,44.0,44.0,44.0,44.0,43.0,41.0,41.0,40.0,42.0,42.0,39.0
