,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,10.0,10.0,10,10.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
pref_city,,10.0,10.0,10,10.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
county_reg,,107.0,107.0,107,107.0,107,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
pref_city_distr,,31.0,31.0,30,30.0,30,30.0,29.0,27.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
county_city,,7.0,7.0,6,6.0,5,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
county,,69.0,69.0,71,71.0,72,73.0,75.0,77.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,1316.0,1316.0,1313,1312.0,1311,1295.0,1295.0,1291.0,1420.0,1420.0,1418.0,1418.0,1745.0,1745.0,1745.0,1745.0,1745.0,1745.0,1747.0
city_town,,973.0,973.0,973,975.0,975,983.0,988.0,989.0,1142.0,1142.0,1136.0,1137.0,922.0,921.0,907.0,907.0,908.0,917.0,903.0
rural_town,,17.0,17.0,17,21.0,21,23.0,23.0,23.0,74.0,74.0,80.0,82.0,648.0,649.0,672.0,674.0,678.0,680.0,682.0
street,,326.0,326.0,323,316.0,315,289.0,284.0,279.0,204.0,204.0,202.0,199.0,175.0,175.0,166.0,164.0,159.0,148.0,167.0
