,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,16.0,16.0,16,16.0,16,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
pref_city,,16.0,16.0,16,16.0,16,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
county_reg,,136.0,136.0,136,137.0,137,137.0,137.0,137.0,137.0,137.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
pref_city_distr,,58.0,58.0,58,57.0,56,55.0,54.0,51.0,51.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
county_city,,26.0,26.0,26,27.0,27,26.0,27.0,28.0,28.0,29.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
county,,52.0,52.0,52,53.0,54,56.0,56.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,1825.0,1825.0,1822,1824.0,1824,1824.0,1826.0,1826.0,1826.0,1826.0,1824.0,1857.0,1874.0,1872.0,1868.0,1869.0,1932.0,1931.0,1941.0
city_town,,1072.0,1072.0,1072,1087.0,1092,1094.0,1106.0,1115.0,1114.0,1107.0,1094.0,1118.0,1118.0,1096.0,1111.0,1118.0,1190.0,1194.0,1223.0
rural_town,,57.0,57.0,57,68.0,68,70.0,73.0,75.0,81.0,91.0,113.0,128.0,156.0,269.0,270.0,269.0,275.0,276.0,293.0
street,,696.0,696.0,693,669.0,664,660.0,647.0,636.0,631.0,628.0,617.0,611.0,600.0,507.0,487.0,481.0,466.0,460.0,423.0
