,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,,,0,,0,,,,,,,,,,,,,,
pref_city,,,,0,,0,,,,,,,,,,,,,,
county_reg,,16.0,16.0,16,16.0,16,16.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0
pref_city_distr,,16.0,16.0,16,16.0,16,16.0,16.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0
county_city,,,,0,,0,,,,,,,,,,,,,,
county,,,,0,,0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,215.0,215.0,215,215.0,214,214.0,214.0,213.0,209.0,208.0,208.0,209.0,210.0,210.0,213.0,211.0,213.0,214.0,220.0
city_town,,106.0,106.0,106,106.0,107,107.0,107.0,107.0,107.0,108.0,108.0,108.0,109.0,109.0,109.0,107.0,106.0,108.0,114.0
rural_town,,2.0,2.0,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
street,,107.0,107.0,107,107.0,105,105.0,105.0,104.0,100.0,98.0,98.0,99.0,99.0,99.0,101.0,101.0,104.0,103.0,103.0
