,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,11.0,11.0,11,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
pref_city,,11.0,11.0,11,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
county_reg,,117.0,117.0,117,117.0,117,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
pref_city_distr,,26.0,26.0,26,26.0,25,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
county_city,,11.0,11.0,11,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
county,,80.0,80.0,80,80.0,81,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,1278.0,1278.0,1396,1396.0,1398,1398.0,1398.0,1398.0,1398.0,1398.0,1397.0,1397.0,1397.0,1397.0,1397.0,1396.0,1389.0,1389.0,1388.0
city_town,,631.0,631.0,579,577.0,564,564.0,564.0,564.0,564.0,564.0,564.0,564.0,563.0,563.0,563.0,563.0,561.0,561.0,561.0
rural_town,,430.0,430.0,610,612.0,632,632.0,632.0,632.0,632.0,632.0,632.0,632.0,633.0,633.0,633.0,633.0,635.0,635.0,634.0
street,,217.0,217.0,207,207.0,202,202.0,202.0,202.0,202.0,202.0,201.0,201.0,201.0,201.0,201.0,200.0,193.0,193.0,193.0
