,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
pref_city,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
county_reg,,183,183,183,183,183,183,183,183,183,183,181,181,181,181,181,181,181,181,181
pref_city_distr,,55,55,55,54,54,53,52,50,49,48,45,44,43,43,43,43,43,43,43
county_city,,19,19,18,18,17,17,16,16,14,14,14,14,14,14,14,14,14,14,14
county,,105,105,106,107,108,109,111,113,116,117,118,119,120,120,120,120,120,120,120
auto_county,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
town_reg,,3101,3101,3230,3440,4612,4610,4633,4635,4648,4657,4660,4672,4668,4660,4657,4657,4660,4782,5018
city_town,,2016,2016,1978,1926,2232,2196,2105,2032,1937,1853,1831,1816,1821,1821,1821,1821,1821,1865,1882
rural_town,,626,626,793,1065,2027,2064,2182,2271,2382,2502,2549,2579,2585,2586,2588,2490,2496,2586,2816
street,,459,459,459,449,353,350,346,332,329,302,280,277,262,253,248,248,249,238,218
