,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,,,0,,0,,,,,,,,,,,,,,
pref_city,,,,0,,0,,,,,,,,,,,,,,
county_reg,,16.0,16.0,16,16.0,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0
pref_city_distr,,16.0,16.0,16,16.0,16,16.0,16.0,15.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0
county_city,,,,0,,0,,,,,,,,,,,,,,
county,,,,0,,0,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,252.0,252.0,250,248.0,249,248.0,245.0,244.0,240.0,240.0,245.0,244.0,243.0,243.0,243.0,244.0,242.0,241.0,240.0
city_town,,125.0,125.0,125,126.0,126,124.0,124.0,121.0,121.0,121.0,123.0,123.0,115.0,116.0,116.0,117.0,118.0,120.0,120.0
rural_town,,3.0,3.0,3,3.0,3,3.0,3.0,6.0,6.0,6.0,11.0,11.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0
street,,124.0,124.0,122,119.0,120,121.0,118.0,117.0,113.0,113.0,111.0,110.0,108.0,107.0,107.0,107.0,104.0,101.0,100.0
