,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,7.0,7.0,7,7.0,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
pref_city,6.0,6.0,6,6.0,6,6.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
county_reg,74.0,74.0,74,74.0,74,74.0,74.0,74.0,74.0,74.0,74.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
pref_city_distr,8.0,8.0,8,8.0,8,8.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
county_city,,,0,,0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
county,66.0,66.0,66,66.0,66,66.0,68.0,69.0,71.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
auto_county,,,0,,0,,,,,,,,,,,,,,
town_reg,699.0,699.0,697,697.0,697,697.0,697.0,694.0,694.0,694.0,693.0,692.0,692.0,692.0,692.0,691.0,691.0,692.0,692.0
city_town,142.0,142.0,142,142.0,138,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
rural_town,534.0,534.0,534,534.0,539,545.0,545.0,544.0,544.0,544.0,543.0,542.0,542.0,542.0,542.0,534.0,534.0,535.0,535.0
street,23.0,23.0,21,21.0,20,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0
