,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
pref_city,,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2
county_reg,,107,107,106,106,105,105,105,104,103,101,101,99,98,98,98,98,99,99,99
pref_city_distr,,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,11
county_city,,28,28,26,26,24,24,24,24,24,22,22,20,19,19,19,19,20,20,20
county,,60,60,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
auto_county,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
town_reg,,1146,1142,1128,1103,1076,1066,1057,1047,1038,1035,1026,1020,1021,1005,1002,1009,1009,1009,1004
city_town,,467,463,444,413,386,349,349,320,305,276,262,242,237,234,229,229,229,229,229
rural_town,,468,468,478,489,489,523,523,548,562,589,601,615,621,620,625,581,581,582,585
street,,210,210,205,200,200,193,184,178,170,169,162,162,162,150,146,147,147,145,136
