,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
pref_city,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
county_reg,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
pref_city_distr,17,17,17,17,17,16,16,14,13,13,13,13,12,12,12,12,12,12,12
county_city,18,18,17,17,16,15,15,14,13,12,11,11,11,9,9,9,9,9,9
county,65,65,66,66,67,69,69,72,74,75,76,76,77,79,79,79,79,79,79
auto_county,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
town_reg,1424,1418,1410,1407,1400,1398,1389,1389,1389,1388,1365,1362,1366,1366,1373,1370,1368,1455,1559
city_town,666,665,678,679,682,682,681,681,665,652,659,577,597,597,580,580,583,567,577
rural_town,537,539,540,540,543,543,545,545,561,574,584,667,689,689,725,575,579,677,758
street,221,214,192,188,175,173,163,163,163,162,122,118,80,80,68,65,56,56,52
