,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
pref_city,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
county_reg,,90,90,90,90,89,89,89,90,90,90,90,90,90,90,90,90,90,90,90
pref_city_distr,,37,37,37,37,37,37,36,36,35,34,32,32,32,32,32,32,32,32,32
county_city,,20,20,20,20,19,19,19,20,20,21,22,22,22,22,22,22,22,22,22
county,,32,32,32,32,32,32,33,33,34,34,35,35,35,35,35,35,35,35,35
auto_county,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
town_reg,,1364,1364,1365,1360,1375,1378,1378,1350,1321,1324,1341,1346,1512,1513,1511,1516,1519,1525,1569
city_town,,618,618,618,619,639,641,655,641,629,639,650,654,728,735,747,750,754,752,760
rural_town,,258,258,259,259,269,274,274,265,258,264,279,290,443,445,446,439,447,461,505
street,,488,488,488,482,467,463,449,444,434,421,412,402,341,333,318,313,304,298,290
